ID,City,Year,Month,AirTemperture,Precipitations,WindSpeed
85,Briceni,2009,1,-2.8,32,1.8
86,Briceni,2009,2,-0.2,32,1.8
87,Briceni,2009,3,2.4,40,2.5
88,Briceni,2009,4,11.1,9,2.7
89,Briceni,2009,5,15.1,24,2.2
90,Briceni,2009,6,19.1,95,2.1
91,Briceni,2009,7,21.4,41,1.9
92,Briceni,2009,8,19.7,34,1.4
93,Briceni,2009,9,16.7,4,1.5
94,Briceni,2009,10,9.2,67,2.1
95,Briceni,2009,11,5.4,23,2.7
96,Briceni,2009,12,-2.1,44,2.6
97,Briceni,2010,1,-7.4,62,2.3
98,Briceni,2010,2,-2.9,40,3.2
99,Briceni,2010,3,3.1,23,2.8
100,Briceni,2010,4,10.3,34,2.8
101,Briceni,2010,5,16.2,109,2.4
102,Briceni,2010,6,19.4,205,2.1
103,Briceni,2010,7,21.8,196,1.6
104,Briceni,2010,8,22.4,38,1.7
105,Briceni,2010,9,13.9,76,2
106,Briceni,2010,10,5.9,45,2.2
107,Briceni,2010,11,8.2,56,2.6
108,Briceni,2010,12,-4.3,76,2.3
109,Briceni,2011,1,-2.6,20,1.8
110,Briceni,2011,2,-3.8,46,3.2
111,Briceni,2011,3,1.9,25,2.3
112,Briceni,2011,4,9.6,28,3.1
113,Briceni,2011,5,15.8,23,2.3
114,Briceni,2011,6,19.5,120,2.3
115,Briceni,2011,7,21.1,65,1.6
116,Briceni,2011,8,19.7,51,1.9
117,Briceni,2011,9,16.7,12,1.7
118,Briceni,2011,10,7.7,24,1.9
119,Briceni,2011,11,2.2,5,2.1
120,Briceni,2011,12,1.7,20,2.2
121,Briceni,2012,1,-3.5,18,2
122,Briceni,2012,2,-9.8,78,2.2
123,Briceni,2012,3,3.5,15,3
124,Briceni,2012,4,11.7,84,2.4
125,Briceni,2012,5,17.2,44,1.7
126,Briceni,2012,6,20.6,64,1.8
127,Briceni,2012,7,23.7,44,1.9
128,Briceni,2012,8,20.8,40,2
129,Briceni,2012,9,17.1,6,2
130,Briceni,2012,10,10.6,37,2
131,Briceni,2012,11,4.9,23,2.4
132,Briceni,2012,12,-5.1,99,3
133,Briceni,2013,1,-4.1,31,2.3
134,Briceni,2013,2,-0.8,33,2.8
135,Briceni,2013,3,-0.6,65,3
136,Briceni,2013,4,11.2,29,2.6
137,Briceni,2013,5,17.6,62,2.1
138,Briceni,2013,6,19.6,143,1.7
139,Briceni,2013,7,19.9,10,1.8
140,Briceni,2013,8,19.9,78,1.7
141,Briceni,2013,9,12.9,115,2.4
142,Briceni,2013,10,9.9,5,1.8
143,Briceni,2013,11,7.2,61,2.7
144,Briceni,2013,12,-0.2,7,2.5
145,Briceni,2014,1,-3.2,42,2.7
146,Briceni,2014,2,-1.6,5,2.5
147,Briceni,2014,3,6.8,19,2.8
148,Briceni,2014,4,10.2,50,2.3
149,Briceni,2014,5,15.7,112,2
150,Briceni,2014,6,17.5,51,1.9
151,Briceni,2014,7,20.3,238,1.7
152,Briceni,2014,8,20.1,28,1.5
153,Briceni,2014,9,15.8,25,1.9
154,Briceni,2014,10,8.3,50,2.1
155,Briceni,2014,11,2.7,53,2.5
156,Briceni,2014,12,-1.2,18,2.3
157,Chisinau,2002,1,-1.9,17,1.9
158,Chisinau,2002,2,4.9,2,2
159,Chisinau,2002,3,7.2,59,2.6
160,Chisinau,2002,4,10.4,31,1.7
161,Chisinau,2002,5,17.9,10,1.5
162,Chisinau,2002,6,20.1,60,1.8
163,Chisinau,2002,7,24.2,134,1.8
164,Chisinau,2002,8,21.4,81,1.8
165,Chisinau,2002,9,16.5,47,1.8
166,Chisinau,2002,10,9.5,84,2
167,Chisinau,2002,11,6.5,76,2
168,Chisinau,2002,12,-6.6,4,2.3
169,Chisinau,2003,1,-3,56,1.7
170,Chisinau,2003,2,-5.5,23,2.5
171,Chisinau,2003,3,1,12,2.1
172,Chisinau,2003,4,8.5,35,2.7
173,Chisinau,2003,5,20.6,8,1.9
174,Chisinau,2003,6,21.2,21,1.5
175,Chisinau,2003,7,21.6,113,1.8
176,Chisinau,2003,8,22.6,27,1.5
177,Chisinau,2003,9,15.6,53,1.8
178,Chisinau,2003,10,9.2,62,1.8
179,Chisinau,2003,11,5.4,10,2.2
180,Chisinau,2003,12,0.4,39,2
181,Chisinau,2004,1,-3.8,88,2
182,Chisinau,2004,2,-0.4,38,2.5
183,Chisinau,2004,3,5.5,31,2.3
184,Chisinau,2004,4,10.8,28,1.9
185,Chisinau,2004,5,14.8,75,1.9
186,Chisinau,2004,6,19.4,11,1.7
187,Chisinau,2004,7,21.7,100,1.6
188,Chisinau,2004,8,21.1,26,1.8
189,Chisinau,2004,9,15.8,70,1.6
190,Chisinau,2004,10,11.4,33,1.4
191,Chisinau,2004,11,5.2,72,2.2
192,Chisinau,2004,12,2.1,19,2.2
193,Chisinau,2005,1,1.1,38,2.1
194,Chisinau,2005,2,-2.9,66,2.2
195,Chisinau,2005,3,2.3,27,2.6
196,Chisinau,2005,4,10.4,50,2.3
197,Chisinau,2005,5,16.6,76,2
198,Chisinau,2005,6,18.6,107,1.8
199,Chisinau,2005,7,22.7,18,1.5
200,Chisinau,2005,8,21.8,151,1.6
201,Chisinau,2005,9,18.3,5,1.6
202,Chisinau,2005,10,10.9,17,1.7
203,Chisinau,2005,11,4.6,48,1.6
204,Chisinau,2005,12,1.5,35,1.7
205,Chisinau,2006,1,-6.6,39,2.2
206,Chisinau,2006,2,-3.1,22,1.7
207,Chisinau,2006,3,2.7,89,2.1
208,Chisinau,2006,4,10.9,37,1.7
209,Chisinau,2006,5,15.7,97,1.7
210,Chisinau,2006,6,19.8,82,1.4
211,Chisinau,2006,7,22.1,53,1.9
212,Chisinau,2006,8,22.1,67,1.4
213,Chisinau,2006,9,17.1,53,1.6
214,Chisinau,2006,10,12.1,14,1.7
215,Chisinau,2006,11,6.4,10,1.7
216,Chisinau,2006,12,3.3,1,1.9
217,Chisinau,2007,1,3.9,44,2.2
218,Chisinau,2007,2,0.5,62,1.9
219,Chisinau,2007,3,7.1,34,2.1
220,Chisinau,2007,4,10.6,37,1.9
221,Chisinau,2007,5,18.9,19,2
222,Chisinau,2007,6,23.2,27,1.8
223,Chisinau,2007,7,25.8,4,1.9
224,Chisinau,2007,8,23.9,34,1.6
225,Chisinau,2007,9,16.7,26,1.8
226,Chisinau,2007,10,11.3,71,1.5
227,Chisinau,2007,11,3,60,2.1
228,Chisinau,2007,12,-0.4,62,1.8
229,Chisinau,2008,1,-1.5,26,2.2
230,Chisinau,2008,2,2.3,6,2
231,Chisinau,2008,3,7.2,36,2.2
232,Chisinau,2008,4,11,48,1.9
233,Chisinau,2008,5,15.5,43,2.8
234,Chisinau,2008,6,20.9,63,2.6
235,Chisinau,2008,7,22.2,51,3.4
236,Chisinau,2008,8,23.8,31,2.9
237,Chisinau,2008,9,15.5,75,3.2
238,Chisinau,2008,10,12.4,16,2.9
239,Chisinau,2008,11,5.1,16,3.1
240,Chisinau,2008,12,1.3,55,3.8
241,Chisinau,2009,1,-1,25,3.3
242,Chisinau,2009,2,1.5,26,3.1
243,Chisinau,2009,3,3.9,63,3.8
244,Chisinau,2009,4,12.2,3,3
245,Chisinau,2009,5,16.6,33,3.1
246,Chisinau,2009,6,21.7,39,3
247,Chisinau,2009,7,24,68,3.4
248,Chisinau,2009,8,22.3,33,2.6
249,Chisinau,2009,9,18.7,22,2.6
250,Chisinau,2009,10,11.5,30,2.8
251,Chisinau,2009,11,6.5,9,2.7
252,Chisinau,2009,12,-1,95,3.2
253,Chisinau,2010,1,-5.2,86,3.2
254,Chisinau,2010,2,-0.9,62,3.6
255,Chisinau,2010,3,4,29,3.6
256,Chisinau,2010,4,11,45,3
257,Chisinau,2010,5,16.8,69,2.9
258,Chisinau,2010,6,21,85,3.2
259,Chisinau,2010,7,23.3,67,2.8
260,Chisinau,2010,8,24.9,53,2.8
261,Chisinau,2010,9,16.1,46,2.7
262,Chisinau,2010,10,7.5,69,3
263,Chisinau,2010,11,10.3,40,3.3
264,Chisinau,2010,12,-2.1,83,3.1
265,Chisinau,2011,1,-1.6,32,2.3
266,Chisinau,2011,2,-3.2,18,3.9
267,Chisinau,2011,3,3.9,16,3.1
268,Chisinau,2011,4,10.2,58,3.6
269,Chisinau,2011,5,16.8,56,2.9
270,Chisinau,2011,6,20.1,149,3.5
271,Chisinau,2011,7,23,16,2.1
272,Chisinau,2011,8,21.8,16,3.2
273,Chisinau,2011,9,19.2,8,2.4
274,Chisinau,2011,10,9.4,36,2.6
275,Chisinau,2011,11,2.9,0,2.5
276,Chisinau,2011,12,2.9,23,2.7
277,Chisinau,2012,1,-2.6,30,3.2
278,Chisinau,2012,2,-7.6,42,3.2
279,Chisinau,2012,3,4.5,21,4.3
280,Chisinau,2012,4,13.3,15,3.5
281,Chisinau,2012,5,19.1,65,3
282,Chisinau,2012,6,23.3,20,3.2
283,Chisinau,2012,7,26,88,2.8
284,Chisinau,2012,8,23.4,27,3.2
285,Chisinau,2012,9,19.4,39,2.6
286,Chisinau,2012,10,12.8,47,2.8
287,Chisinau,2012,11,5.9,26,2.4
288,Chisinau,2012,12,-2.9,102,3.4
289,Chisinau,2013,1,-1.9,53,3
290,Chisinau,2013,2,1.3,26,3.1
291,Chisinau,2013,3,2.5,24,4.3
292,Chisinau,2013,4,12.5,27,3.1
293,Chisinau,2013,5,19.2,50,2.7
294,Chisinau,2013,6,21.2,70,2.6
295,Chisinau,2013,7,21.7,102,3.4
296,Chisinau,2013,8,22.6,44,2.7
297,Chisinau,2013,9,14.4,88,3.6
298,Chisinau,2013,10,11,9,2.7
299,Chisinau,2013,11,8.5,30,3.3
300,Chisinau,2013,12,0,8,3.2
301,Chisinau,2014,1,-1.9,63,2.5
302,Chisinau,2014,2,-1.2,9,2
303,Chisinau,2014,3,8.1,16,3.5
304,Chisinau,2014,4,11.6,41,2.7
305,Chisinau,2014,5,16.8,86,2.2
306,Chisinau,2014,6,19.5,36,2.8
307,Chisinau,2014,7,23,85,2.7
308,Chisinau,2014,8,23.2,54,2.6
309,Chisinau,2014,9,18.6,16,2.6
310,Chisinau,2014,10,9.8,43,2.4
311,Chisinau,2014,11,3.6,121,2.6
312,Chisinau,2014,12,-0.1,34,3.1
313,Cahul,2002,1,-2.1,7,3.5
314,Cahul,2002,2,5.5,3,3.9
315,Cahul,2002,3,7.1,53,6.2
316,Cahul,2002,4,9.7,35,3.3
317,Cahul,2002,5,17.5,25,2.9
318,Cahul,2002,6,20.5,38,3.7
319,Cahul,2002,7,24,191,3.4
320,Cahul,2002,8,21.1,61,2.8
321,Cahul,2002,9,16.5,9,2.9
322,Cahul,2002,10,10.2,84,4.2
323,Cahul,2002,11,7.6,56,3.9
324,Cahul,2002,12,-5.6,8,NA
325,Cahul,2003,1,-2.4,47,3.7
326,Cahul,2003,2,-5.3,18,4.4
327,Cahul,2003,3,1.4,8,3.9
328,Cahul,2003,4,9.1,30,5.3
329,Cahul,2003,5,20.5,10,3.7
330,Cahul,2003,6,22,12,2.4
331,Cahul,2003,7,22,55,2.7
332,Cahul,2003,8,23.5,8,2.5
333,Cahul,2003,9,16.1,61,3.2
334,Cahul,2003,10,10,39,3.2
335,Cahul,2003,11,6.2,8,4.1
336,Cahul,2003,12,0.1,11,4.2
337,Cahul,2004,1,-3.6,57,4.7
338,Cahul,2004,2,0.3,24,4.3
339,Cahul,2004,3,6.3,20,4.2
340,Cahul,2004,4,11.3,35,4.1
341,Cahul,2004,5,15.5,41,3.8
342,Cahul,2004,6,19.7,37,3.5
343,Cahul,2004,7,22,66,2.9
344,Cahul,2004,8,21.5,84,3.4
345,Cahul,2004,9,16.7,33,3.6
346,Cahul,2004,10,12.5,10,3.2
347,Cahul,2004,11,5.9,41,3.6
348,Cahul,2004,12,2.6,22,4
349,Cahul,2005,1,1.1,16,3.6
350,Cahul,2005,2,-2,36,4.7
351,Cahul,2005,3,3.6,22,3.9
352,Cahul,2005,4,10.2,21,4.3
353,Cahul,2005,5,16.8,41,4
354,Cahul,2005,6,18.9,91,3.3
355,Cahul,2005,7,22.6,97,2.7
356,Cahul,2005,8,21.8,47,2.8
357,Cahul,2005,9,18.5,9,2.9
358,Cahul,2005,10,11.3,45,3.3
359,Cahul,2005,11,4.5,62,3.5
360,Cahul,2005,12,1.7,26,3.3
361,Cahul,2006,1,-5.4,21,4.3
362,Cahul,2006,2,-1.3,17,3.3
363,Cahul,2006,3,3.8,50,4.6
364,Cahul,2006,4,11.1,30,3.5
365,Cahul,2006,5,16,39,3.5
366,Cahul,2006,6,20.3,68,2.8
367,Cahul,2006,7,22.3,26,3.3
368,Cahul,2006,8,22.7,47,3.1
369,Cahul,2006,9,17.7,43,3.3
370,Cahul,2006,10,12.4,10,3.4
371,Cahul,2006,11,6.8,7,3.5
372,Cahul,2006,12,2.6,9,3
373,Cahul,2007,1,3.7,41,4.1
374,Cahul,2007,2,1.9,27,4.6
375,Cahul,2007,3,7.2,44,4.7
376,Cahul,2007,4,10.9,21,3.4
377,Cahul,2007,5,18.7,25,4.1
378,Cahul,2007,6,23.2,37,3.2
379,Cahul,2007,7,26,0,3.7
380,Cahul,2007,8,23.8,105,3.3
381,Cahul,2007,9,16.4,39,3.4
382,Cahul,2007,10,11.9,49,2.8
383,Cahul,2007,11,3.7,63,3.8
384,Cahul,2007,12,-0.3,66,3.3
385,Cahul,2008,1,-1.3,14,3.7
386,Cahul,2008,2,2.7,2,3.7
387,Cahul,2008,3,8.1,33,4.4
388,Cahul,2008,4,11.7,47,4.1
389,Cahul,2008,5,15.8,49,3.2
390,Cahul,2008,6,20.9,95,2.7
391,Cahul,2008,7,22.2,43,3.1
392,Cahul,2008,8,24.2,20,2.9
393,Cahul,2008,9,16.2,46,3.3
394,Cahul,2008,10,12.7,22,3.1
395,Cahul,2008,11,6,13,3.3
396,Cahul,2008,12,2.6,60,4.3
397,Cahul,2009,1,-0.1,32,4
398,Cahul,2009,2,2,21,3.9
399,Cahul,2009,3,4.8,48,3.8
400,Cahul,2009,4,11.8,18,3.5
401,Cahul,2009,5,16.8,49,3.1
402,Cahul,2009,6,21.6,20,3
403,Cahul,2009,7,24.4,34,3.2
404,Cahul,2009,8,22.7,20,2.9
405,Cahul,2009,9,18.4,41,3
406,Cahul,2009,10,12.3,35,3.1
407,Cahul,2009,11,7.1,13,3.2
408,Cahul,2009,12,0,74,3.8
409,Cahul,2010,1,-4.2,35,3.9
410,Cahul,2010,2,0.1,43,4.3
411,Cahul,2010,3,4.8,29,4.1
412,Cahul,2010,4,11.6,23,3.6
413,Cahul,2010,5,17.2,82,3.1
414,Cahul,2010,6,20.7,121,3.2
415,Cahul,2010,7,23.2,146,2.6
416,Cahul,2010,8,24.9,25,2.9
417,Cahul,2010,9,17.1,31,3.1
418,Cahul,2010,10,8.6,80,3.6
419,Cahul,2010,11,11.1,20,3.4
420,Cahul,2010,12,-0.7,64,3.1
421,Cahul,2011,1,-2.2,36,2.4
422,Cahul,2011,2,-2.9,14,3.8
423,Cahul,2011,3,4.4,11,3.4
424,Cahul,2011,4,10.1,53,3.7
425,Cahul,2011,5,16.6,47,3.4
426,Cahul,2011,6,20.3,92,3.4
427,Cahul,2011,7,23.4,41,2.2
428,Cahul,2011,8,22.2,25,3.1
429,Cahul,2011,9,19.9,3,2.7
430,Cahul,2011,10,10,33,2.8
431,Cahul,2011,11,3,0,2.7
432,Cahul,2011,12,2.8,16,3
433,Cahul,2012,1,-2,60,3.6
434,Cahul,2012,2,-7.8,46,3.4
435,Cahul,2012,3,5,14,3.5
436,Cahul,2012,4,13.7,30,3.8
437,Cahul,2012,5,18.7,77,3.3
438,Cahul,2012,6,23.3,29,2.9
439,Cahul,2012,7,26.4,45,3.2
440,Cahul,2012,8,24,57,3
441,Cahul,2012,9,19.7,30,2.9
442,Cahul,2012,10,13.9,46,2.9
443,Cahul,2012,11,7.3,23,2.8
444,Cahul,2012,12,-2,138,3.8
445,Cahul,2013,1,-1.7,58,3.1
446,Cahul,2013,2,2.1,32,3.9
447,Cahul,2013,3,3.8,33,4.5
448,Cahul,2013,4,12.9,40,3.8
449,Cahul,2013,5,19.3,48,3.2
450,Cahul,2013,6,21.1,79,2.8
451,Cahul,2013,7,21.9,50,2.7
452,Cahul,2013,8,22.9,21,2.7
453,Cahul,2013,9,15.6,288,2.7
454,Cahul,2013,10,11.4,40,2.7
455,Cahul,2013,11,8.8,22,2.7
456,Cahul,2013,12,0.4,5,2.8
457,Cahul,2014,1,-1,42,3.3
458,Cahul,2014,2,-0.2,10,2.5
459,Cahul,2014,3,8.5,28,3.8
460,Cahul,2014,4,11.5,70,3.3
461,Cahul,2014,5,16.5,103,2.7
462,Cahul,2014,6,19.6,24,2.5
463,Cahul,2014,7,22.7,113,2.7
464,Cahul,2014,8,23.1,45,2.7
465,Cahul,2014,9,18.6,6,3
466,Cahul,2014,10,11,41,3.1
467,Cahul,2014,11,4.8,74,3.1
468,Cahul,2014,12,0.3,55,3.4
